epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.02804,1.34338,3.38216,3.43707,1.3248,0.00456,0.34211,0.12764,0.06565,0.005,0.375,0.12796,0.06219,0.86104,1.09733,3.48154,1.31208,4e-05,4e-05,4e-05
2,17.8491,0.91421,1.3287,3.26666,1.12163,0.01333,1,0.26589,0.24805,0.01333,1,0.26589,0.25153,0.49577,0.50826,2.86763,0.79962,9.802e-05,9.802e-05,9.802e-05
3,26.6466,0.6122,0.67328,2.59962,0.87182,0.01333,1,0.28255,0.27306,0.01333,1,0.28255,0.26412,0.42325,0.28337,2.76295,0.73757,0.000153664,0.000153664,0.000153664
4,35.4769,0.52911,0.5442,1.71883,0.83067,0.01333,1,0.50038,0.38339,0.01333,1,0.51184,0.39865,0.37976,0.2913,2.569,0.72541,0.000206932,0.000206932,0.000206932
5,43.9634,0.50185,0.60882,0.98987,0.83369,0.73485,1,0.95683,0.81516,0.73485,1,0.95683,0.71059,0.41417,0.45741,2.27121,0.72511,0.000257824,0.000257824,0.000257824
6,51.2449,0.51833,0.50067,0.85218,0.82363,1,0.22066,0.99474,0.9234,1,0.22066,0.99474,0.88372,0.35899,0.27102,2.12054,0.72887,0.00030634,0.00030634,0.00030634
7,58.4884,0.50513,0.46692,0.75021,0.80099,1,0.38151,0.995,0.89466,1,0.38151,0.995,0.83181,0.49725,0.2147,2.05165,0.74401,0.00035248,0.00035248,0.00035248
8,65.6205,0.47369,0.42655,0.77742,0.82969,1,0.41246,0.995,0.89842,1,0.41246,0.995,0.84417,0.48887,0.23143,2.06535,0.74431,0.000396244,0.000396244,0.000396244
9,72.9369,0.45256,0.51836,0.69919,0.80618,1,0.23081,0.995,0.91741,1,0.23081,0.995,0.88462,0.43599,0.35503,2.09929,0.74463,0.000437632,0.000437632,0.000437632
10,79.8431,0.47734,0.54439,0.78353,0.8066,1,0.36684,0.995,0.92898,1,0.36684,0.995,0.84918,0.4425,0.49734,2.02298,0.73694,0.000476644,0.000476644,0.000476644
11,86.6272,0.43669,0.4039,0.66093,0.80817,1,0.28427,0.995,0.95212,1,0.28427,0.995,0.89424,0.33245,0.2983,2.01544,0.71935,0.00051328,0.00051328,0.00051328
12,93.5579,0.42708,0.3259,0.65419,0.8259,1,0.26099,0.995,0.92411,1,0.26099,0.995,0.86812,0.37798,0.288,2.04738,0.72288,0.00054754,0.00054754,0.00054754
13,100.315,0.4263,0.31217,0.60994,0.82371,1,0.24905,0.995,0.93874,1,0.24905,0.995,0.84618,0.35061,0.2644,2.04697,0.72129,0.000579424,0.000579424,0.000579424
14,108.167,0.45007,0.36409,0.61621,0.81035,1,0.25541,0.995,0.91944,1,0.25541,0.995,0.84276,0.34853,0.3167,2.01544,0.71654,0.000608932,0.000608932,0.000608932
15,115.007,0.39406,0.35132,0.57234,0.80128,1,0.25605,0.99368,0.92499,1,0.25605,0.99368,0.87055,0.33776,0.23418,1.99078,0.71363,0.000636064,0.000636064,0.000636064
16,121.863,0.39531,0.3016,0.58946,0.8045,1,0.25609,0.995,0.91701,1,0.25609,0.995,0.90551,0.38232,0.24677,1.99339,0.71909,0.00066082,0.00066082,0.00066082
17,128.348,0.46016,0.40902,0.60434,0.81204,1,0.25524,0.99394,0.90456,1,0.25524,0.99394,0.88681,0.42877,0.24725,2.02785,0.71892,0.0006832,0.0006832,0.0006832
18,135.242,0.45307,0.35489,0.58931,0.79851,1,0.25615,0.99493,0.9037,1,0.25615,0.99493,0.87144,0.41632,0.28028,1.95329,0.71874,0.000703204,0.000703204,0.000703204
19,142.124,0.44504,0.36305,0.59928,0.81591,1,0.25656,0.9938,0.92391,1,0.25656,0.9938,0.89344,0.35261,0.30354,1.83975,0.71705,0.000720832,0.000720832,0.000720832
20,149.271,0.36641,0.30162,0.5589,0.82862,1,0.26294,0.9948,0.90676,1,0.26294,0.9948,0.90385,0.41287,0.24689,1.74515,0.72073,0.000736084,0.000736084,0.000736084
21,156.118,0.37389,0.28923,0.55083,0.79019,1,0.41223,0.995,0.89246,1,0.41223,0.995,0.85935,0.46952,0.2021,1.63155,0.72457,0.00074896,0.00074896,0.00074896
