epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37093,1.5828,2.71876,3.49462,1.42095,0.00333,1,0.10768,0.05969,0.00333,1,0.1108,0.05481,0.89934,0.9886,3.32469,1.18218,2e-05,2e-05,2e-05
2,9.39129,1.33275,1.71332,3.25126,1.27487,0.00333,1,0.5349,0.41821,0.00333,1,0.5349,0.40029,0.47738,0.43546,3.06752,0.97449,5.8812e-05,5.8812e-05,5.8812e-05
3,12.9018,0.93254,1.00263,3.03216,1.14297,0.00333,1,0.8287,0.7423,0.00333,1,0.8287,0.67262,0.35295,0.36719,2.94371,0.88364,9.604e-05,9.604e-05,9.604e-05
4,16.5398,0.51852,0.49213,2.68297,0.9623,0.00333,1,0.98667,0.81199,0.00333,1,0.98667,0.76551,0.47799,0.3474,2.76407,0.82604,0.000131684,0.000131684,0.000131684
5,19.893,0.50083,0.3354,1.88015,0.86303,0.00333,1,0.995,0.92188,0.00333,1,0.995,0.8675,0.37197,0.3224,2.55564,0.79434,0.000165744,0.000165744,0.000165744
6,23.4526,0.56488,0.40083,1.72476,0.91649,0.01209,1,0.98786,0.91536,0.01209,1,0.98786,0.88054,0.4204,0.32477,2.33368,0.80479,0.00019822,0.00019822,0.00019822
7,27.196,0.54755,0.36112,1.58357,0.85291,0.89003,1,0.995,0.8977,0.89003,1,0.995,0.84221,0.41724,0.34512,2.27814,0.80666,0.000229112,0.000229112,0.000229112
8,30.6659,0.45329,0.40258,1.21952,0.87669,0.54905,1,0.995,0.8388,0.54905,1,0.995,0.81596,0.54268,0.30349,2.42614,0.85326,0.00025842,0.00025842,0.00025842
9,33.9837,0.61742,0.19667,1.24527,0.85802,0.24652,1,0.995,0.90475,0.24652,1,0.995,0.87632,0.42227,0.28547,2.42852,0.79376,0.000286144,0.000286144,0.000286144
10,37.3972,0.5811,0.3624,1.40273,0.82405,0.00333,1,0.995,0.92663,0.00333,1,0.995,0.86164,0.34233,0.27984,2.47935,0.78353,0.000312284,0.000312284,0.000312284
11,40.8773,0.62874,0.34859,1.40708,0.91547,0.00333,1,0.995,0.92721,0.00333,1,0.995,0.86121,0.33,0.28572,2.52947,0.78416,0.00033684,0.00033684,0.00033684
12,44.1239,0.48689,0.26523,1.03228,0.8092,0.00333,1,0.995,0.94554,0.00333,1,0.995,0.88192,0.33211,0.30615,2.51414,0.785,0.000359812,0.000359812,0.000359812
13,47.5365,0.47887,0.19573,1.03688,0.82716,0.00333,1,0.995,0.9601,0.00333,1,0.995,0.89493,0.29444,0.31344,2.42916,0.78246,0.0003812,0.0003812,0.0003812
14,51.2046,0.42923,0.20917,0.93146,0.83659,0.06584,1,0.995,0.94143,0.06584,1,0.995,0.89583,0.34492,0.29946,2.28334,0.78653,0.000401004,0.000401004,0.000401004
15,54.519,0.36617,0.13163,0.86221,0.83228,1,0.86293,0.995,0.90173,1,0.86293,0.995,0.8938,0.39199,0.29224,2.10961,0.79677,0.000419224,0.000419224,0.000419224
16,57.9394,0.46276,0.26576,0.8583,0.81782,0.99285,1,0.995,0.90875,0.99285,1,0.995,0.88321,0.38679,0.30846,1.99804,0.79698,0.00043586,0.00043586,0.00043586
17,61.3663,0.44906,0.39618,1.07226,0.86523,0.97821,1,0.995,0.90884,0.97821,1,0.995,0.86908,0.39899,0.34373,1.91698,0.79343,0.000450912,0.000450912,0.000450912
18,64.6716,0.37935,0.23904,0.87823,0.84848,0.98379,1,0.995,0.91365,0.98379,1,0.995,0.87686,0.406,0.38132,1.87027,0.79369,0.00046438,0.00046438,0.00046438
19,67.9318,0.47882,0.2456,1.02547,0.79879,0.98013,1,0.995,0.94711,0.98013,1,0.995,0.87323,0.34291,0.33401,1.85442,0.78595,0.000476264,0.000476264,0.000476264
20,71.2859,0.38484,0.19635,0.89761,0.83898,0.98021,1,0.995,0.93701,0.98021,1,0.995,0.88174,0.34558,0.22956,1.87189,0.78419,0.000486564,0.000486564,0.000486564
21,74.6294,0.40255,0.22596,0.90104,0.82751,0.97892,1,0.995,0.91625,0.97892,1,0.995,0.87944,0.38503,0.20757,1.83142,0.78867,0.00049528,0.00049528,0.00049528
22,77.9774,0.36847,0.17564,0.76968,0.83253,0.98516,1,0.995,0.94713,0.98516,1,0.995,0.90319,0.35134,0.20458,1.75933,0.78653,0.000502412,0.000502412,0.000502412
23,81.4793,0.41577,0.31843,0.78214,0.81593,0.99137,1,0.995,0.93884,0.99137,1,0.995,0.88617,0.36531,0.22933,1.69134,0.79047,0.00050796,0.00050796,0.00050796
24,84.9016,0.45798,0.34296,0.90854,0.8859,0.98149,1,0.995,0.92246,0.98149,1,0.995,0.8853,0.41766,0.25988,1.66102,0.79816,0.000511924,0.000511924,0.000511924
25,88.4273,0.39914,0.2108,0.85125,0.81994,0.99074,1,0.995,0.9267,0.99074,1,0.995,0.89155,0.40421,0.28431,1.67915,0.7974,0.000514304,0.000514304,0.000514304
26,92.1078,0.35426,0.24249,0.77939,0.83087,0.99748,1,0.995,0.94103,0.99748,1,0.995,0.8918,0.36238,0.268,1.65399,0.78944,0.0005151,0.0005151,0.0005151
27,96.1808,0.50424,0.19205,1.00694,0.9115,0.99479,1,0.995,0.92915,0.99479,1,0.995,0.88143,0.37155,0.2355,1.64777,0.78877,0.000514312,0.000514312,0.000514312
28,99.8575,0.32597,0.20537,0.7458,0.84492,0.99479,1,0.995,0.92915,0.99479,1,0.995,0.88143,0.37155,0.2355,1.64777,0.78877,0.00051194,0.00051194,0.00051194
29,103.545,0.368,0.19902,0.78376,0.84448,0.99558,1,0.995,0.92747,0.99558,1,0.995,0.8741,0.36479,0.21896,1.53683,0.7893,0.000507984,0.000507984,0.000507984
30,107.382,0.46136,0.28859,0.90379,0.87982,0.99909,1,0.995,0.91879,0.99909,1,0.995,0.88142,0.37659,0.21246,1.39423,0.79442,0.000502444,0.000502444,0.000502444
31,110.898,0.34861,0.14565,0.79014,0.82418,0.99909,1,0.995,0.91879,0.99909,1,0.995,0.88142,0.37659,0.21246,1.39423,0.79442,0.00049532,0.00049532,0.00049532
32,114.662,0.29111,0.24014,0.81486,0.79233,1,0.99952,0.995,0.92654,1,0.99952,0.995,0.89588,0.36699,0.21201,1.20023,0.79363,0.000486612,0.000486612,0.000486612
33,119.458,0.32094,0.1895,0.80867,0.83918,1,1,0.995,0.94744,1,1,0.995,0.90834,0.34505,0.21461,1.03448,0.78932,0.00047632,0.00047632,0.00047632
34,123.608,0.39091,0.23164,0.85632,0.85037,1,1,0.995,0.94744,1,1,0.995,0.90834,0.34505,0.21461,1.03448,0.78932,0.000464444,0.000464444,0.000464444
35,127.961,0.29985,0.16102,0.80095,0.83489,0.99722,1,0.995,0.94595,0.99722,1,0.995,0.92006,0.3089,0.22724,0.97136,0.77791,0.000450984,0.000450984,0.000450984
36,132.475,0.31738,0.16918,0.86356,0.80132,0.99363,1,0.995,0.94845,0.99363,1,0.995,0.92636,0.31849,0.23295,0.93517,0.78089,0.00043594,0.00043594,0.00043594
37,136.335,0.33817,0.31085,0.82361,0.781,0.99363,1,0.995,0.94845,0.99363,1,0.995,0.92636,0.31849,0.23295,0.93517,0.78089,0.000419312,0.000419312,0.000419312
38,139.953,0.33897,0.24264,0.75996,0.84662,0.99116,1,0.995,0.92579,0.99116,1,0.995,0.90475,0.34513,0.21666,0.92182,0.78831,0.0004011,0.0004011,0.0004011
39,143.328,0.38679,0.21481,0.79058,0.89284,0.99075,1,0.995,0.92004,0.99075,1,0.995,0.89083,0.36639,0.20008,0.93645,0.79303,0.000381304,0.000381304,0.000381304
40,146.791,0.33614,0.1766,0.79577,0.79158,0.99075,1,0.995,0.92004,0.99075,1,0.995,0.89083,0.36639,0.20008,0.93645,0.79303,0.000359924,0.000359924,0.000359924
41,150.343,0.26562,0.18794,1.02598,0.76694,0.99232,1,0.995,0.92304,0.99232,1,0.995,0.89498,0.33642,0.18944,0.98238,0.7905,0.00033696,0.00033696,0.00033696
42,154.071,0.22037,0.20724,1.00114,0.69228,0.99344,1,0.995,0.94071,0.99344,1,0.995,0.92832,0.30443,0.1807,1.08175,0.78145,0.000312412,0.000312412,0.000312412
43,157.307,0.23799,0.11507,1.05473,0.72612,0.99344,1,0.995,0.94071,0.99344,1,0.995,0.92832,0.30443,0.1807,1.08175,0.78145,0.00028628,0.00028628,0.00028628
44,160.821,0.24263,0.1896,1.05915,0.84056,0.994,1,0.995,0.98502,0.994,1,0.995,0.92446,0.27605,0.17618,1.1375,0.77293,0.000258564,0.000258564,0.000258564
45,164.106,0.21665,0.10089,1.02554,0.75094,0.994,1,0.995,0.98502,0.994,1,0.995,0.92446,0.27605,0.17618,1.1375,0.77293,0.000229264,0.000229264,0.000229264
46,167.52,0.19927,0.11809,1.04066,0.75178,0.99476,1,0.995,0.98502,0.99476,1,0.995,0.91095,0.24646,0.17629,1.06981,0.76887,0.00019838,0.00019838,0.00019838
47,170.969,0.21824,0.13462,1.02661,0.73595,0.99476,1,0.995,0.98502,0.99476,1,0.995,0.91095,0.24646,0.17629,1.06981,0.76887,0.000165912,0.000165912,0.000165912
48,174.855,0.1963,0.132,0.96873,0.72063,0.99562,1,0.995,0.98502,0.99562,1,0.995,0.92195,0.23168,0.17776,0.98265,0.76743,0.00013186,0.00013186,0.00013186
49,178.155,0.20607,0.13182,0.97001,0.78762,0.99562,1,0.995,0.98502,0.99562,1,0.995,0.92195,0.23168,0.17776,0.98265,0.76743,9.6224e-05,9.6224e-05,9.6224e-05
50,181.746,0.19174,0.12507,0.97324,0.73282,0.99571,1,0.995,0.98502,0.99571,1,0.995,0.92546,0.2255,0.1775,0.92813,0.767,5.9004e-05,5.9004e-05,5.9004e-05
